,Hindi
246," 
           यहाँ हर कदम कदम पे धरती बदले रंग
           
           यहाँ की बोली मे रंगोली सात रंग
           
           यहाँ हर कदम कदम पे धरती बदले रंग
           
           यहाँ की बोली मे रंगोली सात रंग
           
           धानी पगड़ी पहने मौसम है
           
           नीली चादर ताने अम्बर है
           
           नदी सुनहरी हरा समुन्दर है रे सजीला
          
          
           [देस रंगीला रंगीला देस मेरा रंगीला..] x 4
          
          
           वंदेमातरम.. वंदेमातरम..
           
           वंदेमातरम.. वंदेमातरम..
          
          
           सिन्दूरी गालो वाला सूरज जो करे ठिठोली
           
           शर्मीले खेतो को ढंक ले चुनर पीली पीली
           
           घूंघट मे रंग पनघट मे रंग चम् चम् चमकीला
          
          
           [देस रंगीला रंगीला देस मेरा रंगीला..] x 2
          
          
           हो.. हो..
           
           हो.. हो..
          
          
           अबीर गुलाल से चेहरे है यहां मस्तानो की टोली
           
           रंग हसी मे रंग ख़ुशी मे रिश्ते जैसे होली
           
           बातो मे रंग यादो मे रंग रंग रंग रंगीला
          
          
           [देस रंगीला रंगीला देस मेरा रंगीला..] x 2
          
          
           इश्क का रंग यहां पर गहरा चढ़ के कभी न उतरे
           
           सच्चे प्यार का ठहरा सा रंग छलके पर न बिखरे
           
           रंग अदा मे रंग हया मे है रसीला
          
          
           [देस रंगीला रंगीला देस मेरा रंगीला..] x 4
          
          
           यहाँ हर कदम कदम पे धरती बदले रंग
           
           यहाँ की बोली मे रंगोली सात रंग
           
           धानी पगड़ी पहने मौसम हैं
           
           नीली चादर ताने अम्बर हैं
           
           नदी सुनहरी हरा समुन्दर है रे सजीला
           
           देस रंगीला रंगीला देस मेरा रंगीला..
           
           हो.. रंगीला रंगीला देस मेरा रंगीला
          
          
           [देस रंगीला रंगीला देस मेरा रंगीला..] x 4
          
          
           
           
           
            
             हर करम अपना करेंगे
            
           
           
           
           
           
            
             मेरा मुल्क मेरा देश
            
           
           
           
           
           
            
             All Other Patriotic Songs
            
           
          
          
          
          "
247," 
           हो रतिया छाए तो
           
           जिया ललचावे
           
           छतिया धक धक ताल सुनावे
           
           जी कि कोयलिया शोर मचावे
           
           पिया मिलन कि अगन जगावे
           
           
           
           
           रतिया छाए तो
           
           जिया ललचावे
           
           छतिया धक धक ताल सुनावे
           
           जी कि कोयलिया शोर मचावे
           
           पिया मिलन कि अगन जगावे
          
          "
248,"
           
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
            
            देवा श्री गणेशा, देवा श्री गणेशा
           
           
            ज्वाला सी जलती है आँखो मे जिसके भी
            
            दिल मे तेरा नाम है
            
            पर्वा ही क्या उसका आरंभ कैसा है
            
            और कैसा परिणाम है
           
           
            धरती अंबर सितारे, उसकी नज़रे उतारे
            
            डर भी उससे डरा रे, जिसकी रखवालिया रे
            
            करता साया तेरा
            
            हे देवा श्री गणेशा
           
           
            
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा
            
           
           
            हो तेरी भक्ति तो वरदान है
            
            जो कमाए वो धनवान है
            
            बिन किनारे की कश्ती है वो
            
            देवा तुझसे जो अन्जान है
            
            यूँ तो मूषक सवारी तेरी
            
            सब पे है पहेरेदारी तेरी
            
            पाप की आँधिया लाख हो
            
            कभी ज्योती ना हारी तेरी
            
            अपनी तकदीर का वो खुद सिकंदर हुआ रे
            
            भूल के ये जहां रे
            
            जिस किसी ने यहाँ रे
            
            साथ पाया तेरा हे देवा श्री गणेशा
           
           
            
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा
            
           
           
            हो तेरी धूलि का टीका किए
            
            देवा जो भक्त तेरा जिए
            
            उसे अमृत का है मोह क्या
            
            हँस के विष का वो प्याला पिए
            
            तेरी महिमा की छाया तले
            
            काल के रथ का पहिया चले
            
            एक चिंगारी प्रतिशोध से
            
            खड़ी रावण की लंका जले
            
            शत्रुओं की कतारें एक अकेले से हारे
            
            कण भी परबत हुआ रे
            
            श्लोक बन के जहाँ रे
            
            नाम आया तेरा हे देवा श्री गणेशा
           
           
            
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा, देवा श्री गणेशा
             
             देवा श्री गणेशा
            
           
           
            गणपति बप्पा मोरया..
           
           
            त्वमेव माता च पिता त्वमेव
            
            त्वमेव बन्धु सखा त्वमेव
            
            त्वमेव विद्या द्रविणं त्वमेव
            
            त्वमेव सर्वं मम देव देवा
           
           
            अचुतम केशवं रामा नारायणं
            
            कृष्णा देमोदरम वाशुदेवं हारीम
            
            श्रीधरम माधावुम गोपिका वल्लभं
            
            जानकी नायकम रामचंद्रम भजे
           
           
            [हरे राम हरे राम
            
            राम राम हरे हरे
            
            हरे कृष्णा हरे कृष्णा
            
            कृष्णा कृष्णा हरे हरे] x 2
           
           "
249,"
           मरहमी सा चाँद है तू
           
           दिलजला सा मैं अँधेरा
           
           एक दूजे के लिए हैं
           
           नींद मेरी ख्वाब तेरा
           
            तू घटा है फुहार की
            
            मैं घड़ी इंतज़ार की
            
            अपना मिलना लिखा
            
            इसी बरस है ना..
           
           
            जो मेरी मंजिलों को जाती है
            
            तेरे नाम की कोई सड़क है ना
            
            जो मेरे दिल को दिल बनाती है
            
            तेरे नाम की कोई धड़क है ना
           
           
            कोई बांधनी जोड़ा ओढ़ के
            
            बाबुल की गली आऊं छोड़ के
            
            तेरे ही लिए लाऊंगी पिया
            
            सोलह साल के सावन जोड़ के
           
           
            प्यार से थामना.. डोर बारीक है
            
            सात जन्मों की ये पहली तारीख है
           
           
            डोर का एक मैं सिरा
            
            और तेरा है दूसरा
            
            जुड़ सके बीच में कई तड़प है ना
           
           
            जो मेरी मंजिलों को जाती है
            
            तेरे नाम की कोई सड़क है ना
            
            जो मेरे दिल को दिल बनाती है
            
            तेरे नाम की कोई धड़क है ना
           
           "
250,"
           सांस लेने से भी ज्यादा
           
           तुम ज़रूरी हो गए
           
           जी रहे थे हम अधूरे
           
           तुम से पूरे हो गए
           
            सांस लेने से भी ज्यादा
            
            तुम ज़रूरी हो गए
            
            जी रहे थे हम अधूरे
            
            तुम से पूरे हो गए
           
           
            मेरी धड़कन
            
            तेरी धड़कन
            
            दोनों दिलों की
            
            इक है तड़पन
           
           
            सांस लेने से भी ज्यादा
            
            तुम ज़रूरी हो गए
            
            जी रहे थे हम अधूरे
            
            तुम से पूरे हो गए
           
           
            मेरी धड़कन
            
            तेरी धड़कन
            
            दोनों दिलों की
            
            इक है तड़पन
           
           
            आँखें ये मेरी
            
            जो बोलती हैं
            
            धड़कन ये तेरी
            
            वो तोलती है
           
           
            जीने के सवालों में
            
            यूँ प्यार का रंग भर ला
            
            की लफ़्ज़ों से फिर कुछ भी
         
            
            मुश्किल हो बयां करना
           
           
            मेरी धड़कन
            
            तेरी धड़कन
            
            दोनों दिलों की
            
            इक है तड़पन
           
           
            मेरी धड़कन
            
            तेरी धड़कन
            
            दोनों दिलों की
            
            इक है तड़पन
           
           
"
251," 
           आउच..
           
           हो धक-धक करने लगा
           
           हो मोरा जियरा डरने लगा
          
          "
252,"
           [तेरे बिना जीना क्या
           
           तेरे बिना जीना क्यूँ ] x २
           
            तुझे कैसे बताऊँ यारा
            
            तेरे बिन मुझपे क्या गुज़रे
            
            वो ज़िन्दगी है ही नहीं
            
            जो तुझसे जुदा गुज़रे
           
           
            [ढल जाऊं मैं तुझमें
            
            घुल जाऊं मैं तुझमें
            
            मिल जाऊं मैं तुझमें यारा ] x २
           
           
            कहीं से भी चलूँ मैं
            
            कहीं से गुजरूँ मैं
            
            तुझी से आ मिलूं मैं यारा
           
           
            ज़रा सा सिरफिरा हूँ
            
            ज़रा सा बावरा हूँ
            
            जैसा भी हूँ तेरा हूँ यारा
           
           
            तेरी पलकों तले मेरी सांस चले
            
            मेरी सांस चले तेरे दम से
           
           
            [ढल जाऊं मैं तुझमें
            
            घुल जाऊं मैं तुझमें
            
            मिल जाऊं मैं तुझमें यारा ] x २
           
           
            तू कागजों पे दिल के
            
            लिखा हुआ है तबसे
            
            दुनिया में हूँ जबसे मैं यारा
           
           
            तू मेरा हो चूका है
            
            दिल फिर भी मांगता है
            
            हर लम्हा तुझको रब से यारा
           
           
            मेरा तेरे सिवा और कोई नहीं
            
            तू ना होना खफा कभी मुझसे
           
           
            [ढल जाऊं मैं तुझमें
            
            घुल जाऊं मैं तुझमें
            
            मिल जाऊं मैं तुझमें यारा ] x २
           
           "
253," 
           दिल ने ज़बरदस्ती की
           
           मैंने ज़रा सी मस्ती की
           
           बढ़ने लगी थी नज़दीकी
           
           ईट्स गोइंग डाउन टुनाइट
           
           मुझको यकीन था
           
           एक्शन का सीन था
           
           I was buzzing
           
           She was buzzing
           
           We was buzzing o…
          
          
           आँखों से जो करनी थी
           
           बातें वो बेशर्मी की
           
           मुझको ग़लतफहमी थी
           
           ईट्स गोइंग डाउन टुनाइट
           
           मैंने तो सोचा था
           
           बस येही मौक़ा था
           
           I was buzzing
           
           She was buzzing
           
           We was leaving but
          
          
           तीन सौ बार बज गए टेलिफोन
           
           ईट्स मम्मी डैडी सेइंग कॉम होम
           
           I said मैं नै आना, मैं नहीं आना
           
           धत तेरी की मैं घर नै जाना
          
          
           [धत तेरी की मैं, धत तेरी की मैं
           
           धत तेरी की मैं घर नै जाना
           
           धत तेरी की मैं, धत तेरी की मैं
           
           धत तेरी की मैं घर नै जाना
           
           रोका तो किस माई एस
           
           रोक तो किस माई एस
           
           मई घर नै जाना]x २
          
          
           नै जाना मैं घर नहीं जाना..
          
          
           किया जाए कुछ होठों से
           
           इन नज़रों से है क्या करना
           
           मैंने-तूने जो सोचा है
           
           वो भी करने से क्या डरना
          
          
           येही रात है
           
           इसी रात के
           
           इसी पल में खो जाना
           
           पास आके हम चाहे जो करें
           
           सुबह भूल तुम जाना
          
          
           मैंने की जो मनमानी
           
           शुरू की जो छेड़खानी
           
           मेरे दिल में थी बेईमानी
           
           मैंने उसे पुछा
           
           चलो मेरी जगह चलें
           
           या फिर तेरी जगह चलें
           
           वो मानी…
           
           वो मानी… वो मानी…
          
          
           तीन सौ बार बज गए टेलिफोन
           
           ईट्स मम्मी डैडी सेइंग कॉम होम
           
           I said मैं नै आना, मैं नहीं आना
           
           धत तेरी की मैं घर नै जाना
          
          
           [धत तेरी की मैं, धत तेरी की मैं
           
           धत तेरी की मैं घर नै जाना
           
           धत तेरी की मैं, धत तेरी की मैं
           
           धत तेरी की मैं घर नै जाना
           
           रोका तो किस माई एस
           
           रोक तो किस माई एस
           
           इज्ज़त से किस मई एस
           
           मई घर नै जाना]x २
          
          
           When I take a little look at you
           
           baby baby baby…
           
           Its makes me a little crazy crazy
           
           And you n me we are about to have fun
           
           I gotta feeling its about to happen
           
           But every time we are about to have fun
           
           Oh No.. Say it and saw
          
          
           तीन सौ बार बज गए टेलिफोन
           
           ईट्स मम्मी डैडी सेइंग कॉम होम
           
           मैं नै आना, मैं नहीं आना
           
           धत तेरी की मैं घर नै जाना
          
          
           [धत तेरी की मैं, धत तेरी की मैं
           
           धत तेरी की मैं घर नै जाना
           
           धत तेरी की मैं, धत तेरी की मैं
           
           धत तेरी की मैं घर नै जाना
           
           रोका तो किस माई एस
           
           रोक तो किस माई एस
           
           इज्ज़त से किस मई एस
           
           मई घर नै जाना]x २
          
          
           Also See:
           
            Other songs of Gori Tere Pyar Mein
           
          
          "
254," 
           उड़न छू
           
           छू है चिड़िया फिरंगी
           
           बालम तू तू तू देसी मुसम्मी
           
           उड़न छू
           
           छू है चिड़िया फिरंगी
           
           बालम तू तू तू देसी मुसम्मी
          
          
           बोए तो दिल की आदतें
           
           बन्दर छाप हैं
           
           खाली पीली छत पे चढ़े
           
           चढ़ के उतर जाए
           
           हरदम मूड में लल्लन टॉप है
           
           गिनती में गिनता है
           
           एक दो तीन चार पांच
          
          
           [चल धतिंग नाच
           
           धतिंग धतिंग धतिंग धतिंग
           
           धतिंग धतिंग धतिंग नाच ]x 4
          
          
           लोहा बदन तेरा लोहा बदन
           
           तेरा चुम्बक सा जिया रे
           
           चुम्बक सा जिया रे
           
           जिया जिया जिया
           
           मेरा चुम्बक सा जिया
           
           कैंसिल किये मैंने आशिक़ सभी
           
           मेरा तू पक्का पिया रे
           
           तू पक्का पिया
           
           पिया पिया पिया
           
           मेरा तू पक्का पिया
          
          
           ओह पल में पीस है
           
           पल में शटअप है
           
           दिल मेरा टेकनीकलर रंग बदल जाए
           
           हरदम मूड में लल्लन टॉप है
           
           गिनती में गिनता है
           
           एक दो तीन चार पांच
          
          
           चल धतिंग नाच
           
           धतिंग धतिंग धतिंग धतिंग
           
           धतिंग हे हो
           
           धतिंग धतिंग धतिंग धतिंग
           
           धतिंग नाच
           
           हाँ धतिंग धतिंग धतिंग धतिंग
           
           धतिंग नाच
          
          
           धा धा धा धा तिंग तिंग धा तिंग तिंग
          
          
           धतिंग नाच
          
          
           चिक्की चिक्की चुब्ब्य चुब्ब्य
           
           बात करे लोवी डोवी
           
           जानू मेरा ठुमका मारे
           
           ढोल बाजे तशा
           
           खोलूँ हर ताल-वाला
           
           तू है मेरी चाभी-चाभी
           
           आई देखो दुनिया साड़ी देखने तमाशा
          
          
           धतिंग नाच धतिंग नाच
           
           धतिंग नाच धतिंग नाच
           
           धतिंग धतिंग धतिंग नाच
          
          
           [धतिंग धतिंग धतिंग धतिंग
           
           धतिंग धतिंग धतिंग नाच]x 6
          
          "
255," 
           (हर पल मेरी आये यादां
           
           यादां विच ऐ तूं
           
           दिल दी गल मैं दस्सा
           
           ते दस्सा फिर किन्नू ) x २
          
          
           तेरी मेरी मेरी तेरी एक\xa0जिंदड़ी
           
           एक जिंदड़ी what to do
           
           झूमूँ मैं नाचूं मैं गाउँ
           
           के लिखूं तेरे लिए मैं क्या करूँ
          
          
           धीरे धीरे\xa0से मेरी ज़िन्दगी में आना
           
           धीरे धीरे\xa0से दिल को चुराना
           
           तुमसे प्यार हमें\xa0है\xa0कितना जाने\xa0जाना
           
           तुमसे मिलकर तुमको है बताना
          
          
           (शाम वही, काम वही
           
           तेरे बिना ओ सनम
           
           नींद नहीं, चैन नहीं
           
           तेरे बिना ओ सनम ) x २
          
          
           तेरी मेरी मेरी तेरी एक\xa0जिंदड़ी
           
           एक जिंदड़ी what to do
           
           झूमूँ मैं नाचूं मैं गाउँ
           
           के लिखूं तेरे लिए मैं क्या करूँ
          
          
           धीरे धीरे\xa0से मेरी ज़िन्दगी में आना
           
           धीरे धीरे\xa0से दिल को चुराना
           
           तुमसे प्यार हमें\xa0है\xa0कितना जाने\xa0जाना
           
           तुमसे मिलकर तुमको है बताना
          
          
           
            तेरी मेरी स्टोरी जैसे
           
           
           
            बिग बैंग थ्योरी
           
           
           
            मैं सुनाऊँ चोरी-चोरी ये सब को
           
           
           
            तू मुझसे दूर मैं यहाँ पे मजबूर
           
           
           
            शिक़वा करूँ मैं ये रब्ब को
           
           
           
            एक दिन तुम बिन बीते लगे साल
           
           
           
            मेरा हुआ बुरा हाल
           
           
           
            मेरा हुआ बुरा हाल
           
           
           
            हाल कभी अपना मुझे तो बताओ ना
           
           
           
            और लौट कर कभी वापस मेरे पास आओ ना
           
          
          
           (सोता हूँ कभी रोता हूँ
           
           तेरे बिना ओ सनम
           
           पा कर सब कुछ खोता हूँ
           
           तेरे बिना ओ सनम ) x २
          
          
           तेरी मेरी मेरी तेरी एक\xa0जिंदड़ी
           
           एक जिंदड़ी what to do
           
           झूमूँ मैं नाचूं मैं गाउँ
           
           के लिखूं तेरे लिए मैं क्या करूँ
          
          
           धीरे धीरे\xa0से मेरी ज़िन्दगी में आना
           
           धीरे धीरे\xa0से दिल को चुराना
           
           तुमसे प्यार हमें\xa0है\xa0कितना जाने\xa0जाना
           
           तुमसे मिलकर तुमको है बताना
          
          
          
          "
256," 
           धीरे धीरे से मेरी ज़िन्दगी में आना
           
           धीरे धीरे से दिल को चुराना
           
           तुमसे प्यार हमें है कितना जान-ए-जाना
           
           तुमसे मिलकर तुमको है बताना
          
          
           हो धीरे धीरे से मेरी ज़िन्दगी में आना
           
           धीरे धीरे से दिल को चुराना
           
           तुमसे प्यार हमें है कितना जान-ए-जाना
           
           तुमसे मिलकर तुमको है बताना
          
          
           जबसे तुझे देखा दिल को कहीं आराम नहीं
           
           मेरे होठों पे एक तेरे सिवा कोई नाम नहीं
          
          
           अपना भी हाल तुम्हारे जैसा है साजन
           
           बस याद तुझे करते हैं और कोई काम नहीं
          
          
           बन गया हूँ मैं तेरा दीवाना
           
           धीरे धीरे से दिल को चुराना
          
          
           हो धीरे धीरे से मेरी ज़िन्दगी में आना
           
           धीरे धीरे से दिल को चुराना
          
          
           तूने भी अक्सर मुझको जगाया रातों में
           
           और नींद चुरायी मीठी मीठी बातों में
          
          
           तूने भी बेशक़ मुझे कितना तड़पाया
           
           फिर भी तेरी हर एक अदा पे प्यार आया
           
           आजा आजा अब कैसा शर्माना
           
           धीरे धीरे से दिल को चुराना
          
          
           हो धीरे धीरे से मेरी ज़िन्दगी में आना
           
           धीरे धीरे से दिल को चुराना
          
          
           तुमसे प्यार हमें है कितना जान-ए-जाना
           
           तुमसे मिलकर तुमको है बताना
          
          
           धीरे धीरे से मेरी ज़िन्दगी में आना
           
           धीरे धीरे से दिल को चुराना
          
          
          
          "
257,"
           सन्नन सन्नन.. ओ..
           
           सन्नन सन्नन..
           
            सन्नन सन्नन..
            
            ढोलीदा..
           
           
            ढोलीदा.. ढोलीदा..
            
            ढोल हय्या मा वागे वागे ढोलीदा
            
            ढोलीदा.. ढोलीदा..
            
            ढोल हय्या मा वागे वागे ढोलीदा
           
           
            सन्नन सन्नन जाए रे जिया गरबे की रात में
            
            चूड़ी खनकाई तूने आधी ही बात में
            
            सन्नन सन्नन जाए रे जिया गरबे की रात में
            
            चूड़ी खनकाई तूने आधी ही बात में
           
           
            गरबे की रात पिया धड़के मेरा जिया
            
            कह दे ना आज तू है मेरे साथ में
           
           
            ढोलीदा ढोल वागे वागे वागे रे
            
            ढोलीदा ढोल वागे वागे वागे रे
            
            हय्या मा वागे वागे ढोल वागे रे
            
            हय्या मा वागे वागे ढोल वागे रे
           
           
            ढोलीदा.. ढोलीदा..
            
            ढोल हय्या मा वागे वागे ढोलीदा
            
            ढोलीदा.. ढोलीदा..
            
            ढोल हय्या मा वागे वागे ढोलीदा
           
           
            घिर घिर घिर के आयी बारिश बरसात मा
            
            उड़े उड़े उड़े जिया गोरी तेरे साथ मा
            
            हाय
            
            घिर घिर घिर के आयी बारिश बरसात मा
            
            उड़े उड़े उड़े जिया गोरी तेरे साथ मा
           
           
            नैनो की डोरी से हाय
            
            खींचे क्यों चोरी से हाय
            
            नैनो की डोरी से, खींचे क्यों चोरी से
            
            www.hinditracks.in
            
            ऐसे मुझे तड़पाये हाय
           
           
            गरबे की रात पिया धड़के मेरा जिया
            
            कह दे ना आज तू है मेरे साथ में
           
           
            ढोलीदा ढोल वागे वागे वागे रे
            
            ढोलीदा ढोल वागे वागे वागे रे
            
            हय्या मा वागे वागे ढोल वागे रे
            
            हय्या मा वागे वागे ढोल वागे रे
           
           
            ढोलीदा.. ढोलीदा..
            
            ढोलीदा.. ढोलीदा..
            
            ढोल ढोल ढोल वागे ढोलीदा
            
            ढोलीदा वागे ढोलीदा
           
           
            ढोलीदा ढोलीदा
            
            ढोल हय्या मा वागे वागे ढोलीदा..
           
           "
258," 
           [ज़रा पूछ क्या दिल में
           
           मेरे सुबहो शाम है]x२
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
           हर जगह अब दिक्खे तू
           
           अपने दिल का भी काम तमाम है
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
           ज़रा पूछ क्या दिल में मेरे सुबहो शाम है
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
           हर जगह अब दिक्खे तू
           
           अपने दिल का भी काम तमाम है
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
           क्या बताऊँ क्या है जादू
           
           तेरी सारी बातों में
           
           सोचती रहती हूँ अक्सर
           
           तुझको तन्हा रातों में
          
          
           नींदों में तू, ख्वाबों में तू
           
           साँसों में तू बस्ती है
           
           यादों में तू लम्हों में तू
           
           आँखों में तू हंसती है
           
           हर जगह अब दिक्खे तू
           
           अपने दिल का भी काम तमाम है
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
           मेरी गलियां मेरा रस्ता
           
           तू ही मेरी मंज़िल है
           
           मेरी दुनिया मेरी जन्नत
           
           तू ही मेरा साहिल है
          
          
           देखूं तुझे चाहूँ तुझे
           
           एक पल न फुर्सत हो
           
           यही दुआ, मांगू सदा
           
           तू न कभी अब रुखसत हो
           
           हर जगह अब दिक्खे तू
           
           अपने दिल का भी काम तमाम है
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
           ज़रा पूछ क्या दिल में मेरे सुबहो शाम है
          
          
           [बस तेरी बस तेरी धूम धाम है
           
           बस तेरी बस तेरी धूम]x२
          
          
          
          "
259,"
           धूम धड़क्का हो गया तो
           
           होश सारा खो गया तो
           
           आज कह दे बात दिल की बावरे
           
            धूम धड़क्का हो गया तो
            
            होश सारा खो गया तो
            
            आज कह दे बात दिल की बावरे
           
           
            तू रंग रंगीली आयी है
            
            नखरे अपने संग लायी है
            
            मेरे मन गूंजी शहनाई है रे..
           
           
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
           
           
            हर पल ना तुझे अगर देख सके
            
            किस काम के ये नैना
            
            हर घड़ी तेरा ही ध्यान मुझे
            
            वो दिन हो या रैना
           
           
            सोहनी तू महिवाल हूँ मैं
            
            तू हीर है मैं राँझा
            
            दोनों एक धुनकी में है
            
            पन्गा लेंगे साझा
           
           
            बड़बड़ाये कोई तो
            
            बड़बड़ाने दे उसको रे..
           
           
            की अब हैं मेरे दिन मेरी रातें
            
            नए नए सपने गाते
            
            भौंचक्का भौंचक्का मैं
            
            ऊलजलूल मेरी बातें
           
           
            मेरे दिन मेरी रातें
            
            नए नए सपने गाते
            
            भौंचक्का भौंचक्का मैं
            
            ऊलजलूल मेरी बातें
           
           
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
           
           
            जब से है तुझको ताड़ा
            
            तब से मैं रटूं पहाड़ा
            
            तेरी चाहत का
            
            तेरी उल्फत का
           
           
            जब से है तुझको ताड़ा
            
            तब से मैं रटूं पहाड़ा
            
            तेरी चाहत का
            
            तेरी उल्फत का
           
           
            फिरता था मैं हट्टा कट्टा
            
            लगा तेरे नाम का रट्टा
            
            लो बांधे प्यार का पट्टा मैं हूँ
            
            तिलमिलाए दुनिया तो
            
            तिलमिलाने दे उसको रे..
           
           
            की अब हैं मेरे दिन मेरी रातें
            
            नए नए सपने गाते
            
            भौंचक्का भौंचक्का मैं
            
            ऊलजलूल मेरी बातें
           
           
            मेरे दिन मेरी रातें
            
            नए नए सपने गाते
            
            भौंचक्का भौंचक्का मैं
            
            ऊलजलूल मेरी बातें..
           
           
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
           
           
            देख मुझे ना ऐसे की शरमाऊं मैं
            
            पास ना इतने आना की घबराऊँ मैं
            
            चाहूँ जो बताना भी तो कैसे बताऊं मैं
            
            तुम सीखते हो तो धड़कन कितनी बढ़ती है
            
            धड़कन कितनी बढ़ती है
            
            www.hinditracks.in
            
            पास आते हो तो उलझन कितनी बढ़ती है
            
            उलझन कितनी बढ़ती है
           
           
            बजे प्यार के ढोल और ताशे
            
            तो मन में फूटे बताशे
            
            तन झूमा है
            
            सर घूमा है
           
           
            बजे प्यार के ढोल और ताशे
            
            तो मन में फूटे बताशे
            
            तन झूमा है
            
            सर घूमा है
           
           
            तू प्रेम नशा जो घोले
            
            तो मैं हूँ बाहें खोले
            
            दिल धड़क धड़क येही बोले
            
            आ जा..
           
           
            हिचकिचाए तेरा मन तो
            
            हिचकिचाने दे उसको रे..
           
           
            की अब हैं मेरे दिन मेरी रातें
            
            नए नए सपने गाते
            
            भौंचक्का भौंचक्का मैं
            
            ऊलजलूल मेरी बातें
           
           
            मेरे दिन मेरी रातें
            
            नए नए सपने गाते
            
            भौंचक्का भौंचक्का मैं
            
            ऊलजलूल मेरी बातें
           
           
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते
            
            टीम लक्क लक्क ते रे..
           
           
            धूम धड़क्का हो गया तो
            
            होश सारा खो गया तो
            
            आज कह दे बात दिल की बावरे
           
           
            धूम धड़क्का हो गया तो
            
            होश सारा खो गया तो
            
            आज कह दे बात दिल की बावरे
           
           "
